Stock Symbol,Market Cap,P/E Ratio,EPS,Yield
GLO,$494.37 M,N/A,$-0.09,N/A
GBML,$10.16 M,N/A,$-0.03,N/A
APP,$2.06 M,N/A,$-0.01,N/A
GDV.PRA,N/A,N/A,N/A,5.32%
GEMC,$2.60 M,N/A,$-0.04,N/A
PEAS,$7.40 M,N/A,$-0.15,N/A
MJRX,"$798,332",N/A,$-0.22,N/A
HECO,$10.61 M,N/A,$-0.10,N/A
GHG,$1.78 M,N/A,$-0.01,N/A
LION,$3.17 M,N/A,$-0.02,N/A
UAV,"$245,945",N/A,$-0.16,N/A
GWS,$3.87 M,N/A,$-0.04,N/A
GMX,$42.28 M,N/A,$-0.06,N/A
GLOW,$7.14 M,N/A,$-0.04,N/A
GMV,$13.19 M,N/A,$-0.01,N/A
GOCO,$1.79 M,N/A,$-0.10,N/A
GOAT,$1.12 M,N/A,$-0.08,N/A
GSY,$1.76 B,10.83,$9.89,3.58%
GGD,$482.42 M,N/A,$-0.02,N/A
GG,$17.46 M,N/A,$-0.02,N/A
GXX,$17.25 M,N/A,$-0.02,N/A
GBRC,$6.88 M,N/A,$-0.03,N/A
GDIG,N/A,N/A,N/A,N/A
HUNT,$6.96 M,N/A,$-0.02,N/A
GLDL,$2.55 M,N/A,$-0.17,N/A
GL,$3.38 M,N/A,$-0.13,N/A
GMTN,$15.38 M,N/A,$-0.09,N/A
GPO,$2.19 M,N/A,$-0.04,N/A
GRZ,$176.20 M,N/A,$-0.11,N/A
GRC,$30.09 M,N/A,$-0.01,N/A
YGT,$21.83 M,N/A,$-0.01,N/A
AUU,$5.22 M,N/A,$0.00,N/A
GRG,$14.54 M,N/A,$-0.05,N/A
GCC,$2.99 M,N/A,$-0.02,N/A
GNG,$3.02 M,N/A,$0.00,N/A
GLM,$6.47 M,N/A,$-0.03,N/A
AUMN,$42.00 M,N/A,$-0.10,N/A
GDP,$7.02 M,N/A,$-0.03,N/A
GLDN,$3.80 M,N/A,$-0.02,N/A
GSRI,$8.69 M,N/A,$-0.30,N/A
AUEN,$3.25 M,N/A,$-0.04,N/A
GLDS,$8.67 M,N/A,$-0.04,N/A
GOG,$33.61 M,N/A,$-0.01,N/A
GDX,$1.57 M,4.17,$0.02,N/A
GOFL,$6.29 M,N/A,$-0.01,N/A
GGA,$1.72 M,N/A,$-0.18,N/A
GOH,$4.36 M,N/A,$-0.06,N/A
GOLD,$230.47 M,N/A,$-0.10,N/A
XAU,$150.18 M,33.78,$0.06,N/A
FUTR,$4.67 M,N/A,$-0.01,N/A
GLD,$2.77 M,N/A,$-0.05,N/A
GQC,$25.94 M,N/A,$-0.01,N/A
GOR,$1.63 M,N/A,$-0.01,N/A
GSK,$1.51 M,N/A,$-0.01,N/A
GSHR,$34.02 M,N/A,N/A,N/A
GXS,$18.30 M,N/A,$-0.12,N/A
GDM,$1.91 M,N/A,$-0.06,N/A
GSTM,$14.76 M,N/A,N/A,N/A
GOT,$43.39 M,N/A,$-0.28,N/A
GFCO,$3.06 M,N/A,$-0.05,N/A
GOOD,$2.41 M,N/A,N/A,N/A
GDNP,$44.63 M,N/A,$-0.05,N/A
MUSH,$4.60 M,N/A,$-0.03,N/A
GFOR.P,N/A,N/A,N/A,N/A
GDL,$104.29 M,3.88,$3.19,8.06%
FOOD,$39.12 M,N/A,$-1.21,N/A
GDNS,$30.75 M,N/A,$-0.38,N/A
GSS,$3.34 M,N/A,$-0.04,N/A
GHM.P,"$760,000",N/A,$0.00,N/A
GXU,$89.69 M,N/A,$-0.03,N/A
GWA,$36.73 M,N/A,$-0.01,N/A
GPM,$4.94 M,N/A,$0.00,N/A
GRSL,$22.25 M,N/A,$-0.09,N/A
GGM,$4.52 M,N/A,$-0.02,N/A
GPG,$22.71 M,N/A,$-0.01,N/A
GCX,$8.43 M,N/A,$-0.01,N/A
GRT.UT,$5.20 B,N/A,$-5.11,3.93%
GBLC,$1.73 M,N/A,$-0.39,N/A
GEL,$2.98 M,N/A,$-0.03,N/A
GMG,$177.93 M,N/A,$-0.02,N/A
GPH,$158.65 M,N/A,$-0.09,N/A
GRAT,$55.48 M,N/A,$-0.05,N/A
GRAY,$1.99 M,N/A,$-0.06,N/A
GR,$1.50 M,N/A,$-0.10,N/A
GQ,$1.27 M,N/A,$-0.06,N/A
GWO,$36.39 B,12.05,$3.26,5.29%
GWO.PRI,N/A,N/A,N/A,6.16%
GWO.PRY,N/A,N/A,N/A,6.10%
GWO.PRR,N/A,N/A,N/A,6.22%
GWO.PRT,N/A,N/A,N/A,6.27%
GWO.PRG,N/A,N/A,N/A,6.25%
GWO.PRS,N/A,N/A,N/A,6.27%
GWO.PRP,N/A,N/A,N/A,6.31%
GWO.PRL,N/A,N/A,N/A,6.33%
GWO.PRM,N/A,N/A,N/A,6.31%
GWO.PRN,N/A,N/A,N/A,3.64%
GWO.PRH,N/A,N/A,N/A,6.25%
GEM,$5.24 M,N/A,$-0.05,N/A
GIP,$162.60 M,N/A,$-0.47,N/A
GRF,$24.12 M,N/A,$-0.04,N/A
CCR,$4.52 M,N/A,$-0.03,N/A
GCOM,$6.85 M,N/A,$-0.05,N/A
GTII,$2.23 B,N/A,$-0.06,N/A
GBC,$6.82 M,N/A,$-0.06,N/A
GRB,$34.72 M,N/A,$-0.09,N/A
VGN,$2.60 M,N/A,$-0.09,N/A
GFP,$236.17 M,5.34,$0.24,N/A
GRHK,$4.31 M,N/A,$-0.01,N/A
GRN,$46.67 M,N/A,$-0.04,N/A
GPV,$88.90 M,N/A,$-1.02,N/A
XCX,"$944,721",N/A,$-0.14,N/A
GWAY,$30.11 M,N/A,$-0.02,N/A
WOLF,$14.90 M,N/A,$-0.06,N/A
CELL,$3.62 M,N/A,$-0.02,N/A
GRDM,$23.15 M,23.33,$0.01,N/A
GZD,$12.04 M,N/A,$0.00,N/A
GVR,$2.10 M,N/A,$-0.01,N/A
GRD,$12.12 M,N/A,$-0.14,N/A
SHOE,$30.18 M,N/A,$-0.08,N/A
ZNG,$11.87 M,N/A,$-0.02,N/A
GRIN,$29.86 M,12.41,$0.01,N/A
GSPR,$2.80 M,N/A,$-0.01,N/A
GSVR,$153.82 M,N/A,$-0.13,N/A
GCG,$1.16 B,N/A,$-7.49,3.06%
GCG.A,$1.16 B,N/A,$-7.49,3.09%
GUF,$11.50 M,6.87,$0.08,N/A
GUG,$6.58 M,N/A,$-0.01,N/A
GURU,$93.44 M,N/A,$-0.53,N/A
HR.UT,$2.74 B,N/A,$-0.13,5.86%
HO.P,N/A,N/A,N/A,N/A
HEO,$259.22 M,81.64,$0.04,N/A
HAKK.P,"$791,324",N/A,$-0.01,N/A
HPM,$2.40 M,N/A,$-0.05,N/A
HMT,$109.07 M,11.53,$0.08,N/A
HTL,$226.73 M,119.85,$0.01,N/A
HHRS,N/A,N/A,N/A,N/A
HHRS.WT,N/A,N/A,N/A,N/A
HMM.A,$67.33 M,4.84,$1.23,1.01%
HPS.A,$512.69 M,9.83,$4.38,1.16%
HFC,$11.80 M,N/A,$-0.01,N/A
HANK,$3.84 M,N/A,$-0.05,N/A
HCC,"$851,592",5.71,$0.00,N/A
HAN,$25.02 M,N/A,$-0.01,N/A
HCO.P,"$270,000",N/A,$-0.01,N/A
HANS,$2.36 M,N/A,$-0.03,N/A
HAPB,$7.10 M,N/A,$-0.11,N/A
HBFG,$17.15 M,N/A,$-0.03,N/A
HAR,$13.06 M,N/A,$-0.06,N/A
HARY,$8.87 M,N/A,$-0.01,N/A
HVG,"$783,313",N/A,$-0.01,N/A
REZN,$1.40 M,N/A,$0.00,N/A
HAVN,"$127,422",N/A,$-3.76,N/A
HAWK,"$580,197",N/A,$-0.02,N/A
HWTN,N/A,N/A,N/A,N/A
HWX,$1.43 B,10.04,$0.64,6.26%
HWG,$16.11 M,N/A,$-0.02,N/A
HMC,N/A,N/A,N/A,N/A
HSTR,$72.41 M,N/A,$-0.14,N/A
HX,$9.24 M,N/A,N/A,N/A
HBP,$42.00 M,N/A,$-0.03,N/A
HME,$126.59 M,5.92,$0.21,8.06%
HEM,$10.23 M,N/A,$-0.08,N/A
HMPS,"$482,586",N/A,$-0.07,N/A
HMPG,$1.02 M,N/A,$-0.48,N/A
HERB,$6.13 M,N/A,$-0.01,N/A
HERC,N/A,N/A,N/A,N/A
BIG,$19.03 M,N/A,$-0.02,N/A
CANN,$9.16 M,N/A,$-0.04,N/A
HML,$2.98 M,N/A,N/A,N/A
HRX,$480.67 M,35.49,$0.40,N/A
HZ,N/A,N/A,N/A,N/A
HEXO,$82.86 M,N/A,$-8.70,N/A
HWO,$62.38 M,N/A,$-0.71,4.72%
HITI,$138.71 M,N/A,$-0.98,N/A
HTRC,$10.86 M,N/A,$-0.05,N/A
HBK,"$896,713",N/A,$-0.09,N/A
HCM.H,"$468,651",N/A,$-0.23,N/A
HIGH,$60.14 M,N/A,$-0.02,N/A
HI,$58.91 M,N/A,$-0.01,N/A
HSLV,$7.29 M,N/A,$-0.01,N/A
HRK,N/A,N/A,N/A,N/A
HWY,$5.83 M,5.15,$0.03,N/A
HAM,$54.13 M,24.64,$0.37,N/A
HILL,$3.38 M,N/A,$-0.01,N/A
HEAT,$35.86 M,N/A,$-0.02,N/A
ESPN,$4.82 M,N/A,$-0.03,N/A
HIVE,$350.14 M,N/A,$-4.00,N/A
HIVE.WT,N/A,N/A,N/A,N/A
HVW,N/A,N/A,N/A,N/A
HLS,$145.58 M,N/A,$-1.05,4.71%
HCG,$1.65 B,11.05,$3.94,1.38%
HMR,$19.90 M,N/A,$-0.04,N/A
TUF,$4.99 M,N/A,$-0.05,N/A
HVII.P,N/A,N/A,N/A,N/A
HPL.H,$2.75 M,N/A,$-0.01,N/A
HZM,$632.24 M,N/A,$-0.04,N/A
HCH,$109.03 M,N/A,$-0.03,N/A
HCH.WT,N/A,N/A,N/A,N/A
HPQ,$76.80 M,N/A,$-0.03,N/A
HS,$13.30 M,N/A,$-0.15,N/A
HUD,$4.46 M,N/A,$0.00,N/A
HOC,"$521,309",N/A,$-0.04,N/A
HMAN,$1.10 M,N/A,$-0.54,N/A
HUT,$574.68 M,N/A,$-1.04,N/A
HUT.WTA,N/A,N/A,N/A,N/A
NURS,$6.28 M,N/A,$-0.10,N/A
H,$23.42 B,22.85,$1.70,3.05%
HG,$4.03 M,N/A,$-0.03,N/A
ITE,$369.15 M,3.81,$0.08,5.63%
IAU,$834.81 M,6.93,$0.45,N/A
IAG,$8.97 B,9.98,$8.82,3.48%
IMG,$1.80 B,N/A,$-0.77,N/A
HMBL,$8.69 M,N/A,$-0.16,N/A
HOC,"$521,309",N/A,$-0.04,N/A
HMAN,$1.10 M,N/A,$-0.54,N/A
HUT,$574.68 M,N/A,$-1.04,N/A
HUT.WTA,N/A,N/A,N/A,N/A
NURS,$6.28 M,N/A,$-0.10,N/A
H,$23.42 B,22.85,$1.70,3.05%
HG,$4.03 M,N/A,$-0.03,N/A
HYTN,$3.11 M,N/A,$-0.26,N/A
ITE,$369.15 M,3.81,$0.08,5.63%
IAU,$834.81 M,6.93,$0.45,N/A
IAG,$8.97 B,9.98,$8.82,3.48%
IMG,$1.80 B,N/A,$-0.77,N/A
IAN,$257.81 M,N/A,$-0.85,N/A
IB,$7.01 M,N/A,$-0.05,N/A
IBT,$20.08 M,14.72,$0.06,N/A
IC,$8.37 M,N/A,$-0.01,N/A
ISFT,$3.36 M,N/A,$-0.01,N/A
ICM,$11.07 M,N/A,$-0.01,N/A
ITKO,$20.23 M,N/A,$-0.02,N/A
ID,$1.32 M,N/A,$0.00,N/A
IFA,$37.28 M,63.08,$0.02,N/A
IGN,$2.71 M,N/A,$0.00,N/A
IGM,$9.28 B,8.99,$4.32,5.79%
IMCC,$17.99 M,N/A,$-25.44,N/A
IFX,$70.88 M,7.79,$0.18,N/A
IME,$1.19 M,N/A,$-0.10,N/A
ILI,$19.85 M,N/A,$-0.01,N/A
IP,$8.14 M,N/A,$-0.01,N/A
IMR,$8.73 M,N/A,$-0.07,N/A
IPT,$44.46 M,N/A,$-0.02,N/A
IEI,$44.61 M,5.35,$0.88,1.69%
IGP,$9.80 M,8.68,$0.16,N/A
III,$275.67 M,N/A,$-0.51,N/A
IPG,$12.92 M,N/A,$0.00,N/A
IMO,$36.96 B,5.44,$11.89,3.10%
INCA,$6.29 M,N/A,$-0.14,N/A
IGO,$13.49 M,N/A,$-0.02,N/A
IBH,$1.78 M,N/A,$-0.11,N/A
IDG,$54.97 M,N/A,$-1.13,N/A
INEO,$5.12 M,N/A,$-0.05,N/A
INFD,"$851,820",N/A,$-0.05,N/A
IAI,$7.59 M,N/A,$-0.02,N/A
INFI,$3.63 M,N/A,$-0.17,N/A
GEMS,$4.80 M,N/A,$-0.05,N/A
AUCU,$18.43 M,N/A,$-0.01,N/A
ISV,$371.73 M,12.20,$1.69,4.47%
INE,$2.81 B,N/A,$-0.33,5.24%
INE.PRC,N/A,N/A,N/A,7.06%
INE.PRA,N/A,N/A,N/A,6.11%
INNO,$63.37 M,N/A,$-0.02,N/A
IOT,$5.06 M,N/A,$0.00,N/A
MINE,$2.17 M,N/A,$-0.01,N/A
INO.UT,$117.68 M,N/A,$-1.14,11.65%
IPO,$219.62 M,3.13,$0.82,7.03%
INSP,$12.69 M,N/A,$-0.06,N/A
ISGI,$1.43 M,N/A,$-0.02,N/A
IFC,$35.68 B,15.57,$12.98,2.18%
IFC.PRE,N/A,N/A,N/A,6.05%
IFC.PRK,N/A,N/A,N/A,6.10%
IFC.PRF,N/A,N/A,N/A,5.94%
IFC.PRI,N/A,N/A,N/A,5.92%
IFC.PRG,N/A,N/A,N/A,6.12%
IFC.PRA,N/A,N/A,N/A,7.04%
IFC.PRC,N/A,N/A,N/A,5.28%
ITR,$111.76 M,N/A,$-0.37,N/A
IGX,$37.75 M,N/A,$-0.09,N/A
IFP,$1.14 B,7.69,$2.76,N/A
IMP,$18.59 M,N/A,$-0.18,N/A
IBAT,$145.21 M,N/A,$-0.11,N/A
CLP.UT,$120.04 M,N/A,$-0.76,7.03%
ICON,$2.53 M,N/A,$-0.01,N/A
ILC,$14.91 M,N/A,$-0.01,N/A
IMM,$4.03 M,N/A,$-0.52,N/A
IPCO,$1.55 B,4.48,$2.67,N/A
IZZ,$2.28 M,N/A,$-0.01,N/A
ITH,$123.05 M,N/A,$-0.02,N/A
IZ,$4.13 M,N/A,$-0.02,N/A
IMCX,$10.06 M,N/A,$-0.04,N/A
IIP.UT,$1.94 B,21.01,$0.64,2.69%
IRO,$15.84 M,N/A,$-0.04,N/A
TIDE.P,N/A,N/A,N/A,N/A
INX,$9.95 M,16.53,$0.02,N/A
INTR,$6.84 M,N/A,$-0.05,N/A
IVS,$10.56 M,N/A,$-0.01,N/A
IVQ,$64.06 M,N/A,$-1.17,N/A
IZN,$3.06 M,N/A,$-0.01,N/A
ICY.P,N/A,N/A,N/A,N/A
ION,$13.54 M,N/A,$-0.04,N/A
IOU,$12.11 M,N/A,$0.00,N/A
ISD,$2.27 M,N/A,$-0.01,N/A
ISM,N/A,N/A,N/A,N/A
ISO,$265.00 M,N/A,$-0.10,N/A
IFOS,$319.02 M,2.26,$0.76,N/A
IE,$1.57 B,N/A,$-2.42,N/A
IVN,$13.65 B,21.49,$0.50,N/A
IZO,$18.41 M,N/A,$-0.12,N/A
JJJJ.P,"$393,000",N/A,$-0.01,N/A
JNH,$3.82 M,N/A,$-0.07,N/A
JJ,$8.51 M,N/A,$-0.05,N/A
JADE,$2.39 M,N/A,$-0.01,N/A
JPWR.H,$1.22 M,0.03,$1.60,N/A
JAEG.H,"$574,600",N/A,$0.00,N/A
JAG,$167.40 M,4.08,$0.54,7.24%
JBR,$3.54 M,N/A,$-0.04,N/A
JWEL,$1.33 B,26.48,$1.18,2.18%
JG,$43.58 M,N/A,$-0.02,N/A
JPIM,$2.03 M,N/A,$-0.15,N/A
JPIM.WT,N/A,N/A,N/A,N/A
JAX,$5.04 M,N/A,$0.00,N/A
JDN,$5.85 M,N/A,$-0.01,N/A
JEV,$59.90 M,N/A,$-0.03,N/A
JRV,$179.56 M,N/A,$-0.05,N/A
JKS,$8.86 M,N/A,N/A,N/A
JCI.H,"$138,000",N/A,$-0.02,N/A
JSDA,$27.15 M,N/A,$-0.08,N/A
JOR,$20.41 M,N/A,$-0.02,N/A
JOY,$323.19 M,2.39,$2.52,N/A
JUGR,$6.08 M,N/A,$-0.01,N/A
JUSH,$129.78 M,N/A,$-1.53,N/A
JK,$5.64 M,N/A,$-0.22,N/A
VTAL,$1.51 M,N/A,$-0.06,N/A
JUVA,$9.84 M,N/A,$-0.08,N/A
JVR.P,N/A,N/A,N/A,N/A
JZR,$15.60 M,N/A,$-0.09,N/A
KTO,$14.27 M,N/A,$-0.02,N/A
KNC,$2.82 M,N/A,$-0.04,N/A
KNT,$1.43 B,40.93,$0.15,N/A
KDSX,$39.19 M,N/A,$-0.10,N/A
KRL,$4.40 M,N/A,$-0.03,N/A
KZD,$9.87 M,N/A,$-0.05,N/A
KALO,$4.58 M,N/A,$-0.04,N/A
KNE,$13.73 M,N/A,$-0.03,N/A
KAPA,$3.80 M,N/A,N/A,N/A
KRN,$11.99 M,N/A,$-0.03,N/A
KRR,$901.84 M,79.84,$0.06,N/A
FUND,$20.03 M,N/A,$-0.02,N/A
KYS.H,$1.50 M,3.94,$0.02,N/A
KBL,$338.17 M,53.08,$0.59,3.82%
KDA,$11.11 M,N/A,$-0.01,N/A
KLS,$17.38 M,N/A,$-0.05,N/A
KEL,$1.09 B,6.73,$0.84,N/A
KLD,$38.50 M,2.59,$0.28,N/A
KLM,"$598,151",N/A,$-0.01,N/A
KES,$3.25 M,70.00,$0.00,N/A
KIP,$23.70 M,N/A,$-0.01,N/A
KITS,$146.92 M,N/A,$-0.11,N/A
KEC,$560.24 M,2.20,$6.05,N/A
KLX,$5.84 M,N/A,$-0.07,N/A
KG,$15.55 M,N/A,$0.00,N/A
KS,$9.19 M,N/A,$0.00,N/A
KMC.H,$1.06 M,4.17,$0.01,N/A
KSI,$211.76 M,N/A,$-0.11,N/A
GUD,$558.82 M,N/A,$-0.13,N/A
KRI,$10.76 M,N/A,$-0.04,N/A
KDK,$41.16 M,N/A,$-0.03,N/A
FIT,$3.97 M,N/A,$-0.63,N/A
KEI,$177.01 M,4.99,$0.99,N/A
YUM,$1.16 M,N/A,$-0.27,N/A
KTN,$37.39 M,N/A,$-0.22,N/A
KOVO,$7.09 M,N/A,$-0.01,N/A
KPT,$103.84 M,N/A,$-2.20,6.94%
PNG,$106.81 M,N/A,$-0.02,N/A
KUR.H,$2.11 M,N/A,$-0.01,N/A
KC,$23.25 M,N/A,$-0.02,N/A
KUU,$3.22 M,0.60,$0.08,N/A
KUYA,$20.26 M,N/A,$-0.15,N/A
KWE,$15.91 M,N/A,$-8.25,N/A
KWG,$28.16 M,N/A,$-0.02,N/A
LAI,"$362,579",N/A,$0.00,N/A
LIF,$1.95 B,7.91,$3.84,6.59%
LTX,"$471,525",N/A,$-0.01,N/A
LUR,$14.53 M,N/A,$-0.14,N/A
LG,$7.30 M,N/A,$-0.03,N/A
LWR.H,$3.88 M,N/A,$-0.03,N/A
LLL,$1.19 M,7.82,$0.01,N/A
LRA,$35.72 M,N/A,$-0.02,N/A
LGO,$335.39 M,N/A,$-0.04,N/A
VAND,$21.41 M,N/A,$-0.27,N/A
LAS.A,$775.07 M,13.89,$8.21,1.75%
LMS,$9.23 M,N/A,$-0.03,N/A
LB,$1.33 B,6.31,$4.87,5.99%
LB.PRH,N/A,N/A,N/A,6.59%
LME,$90.87 M,N/A,$-0.02,N/A
LGC,$12.74 M,N/A,N/A,N/A
LDB.P,N/A,N/A,N/A,N/A
LEM,$33.10 M,N/A,$-0.01,N/A
LEEF,$25.58 M,N/A,$-0.02,N/A
LPS,$28.22 M,N/A,$-0.04,N/A
LECR,$5.74 M,N/A,$-0.01,N/A
LTV,"$731,535",N/A,$-0.15,N/A
LNF,$1.42 B,8.30,$2.47,3.12%
LP,$1.69 M,N/A,$-0.02,N/A
LET.H,"$921,180",N/A,$-0.04,N/A
LVL,$15.13 M,N/A,$-0.01,N/A
JUMP,$7.98 M,38.00,$0.00,N/A
LVX,$2.33 M,N/A,$-0.01,N/A
LILI,$6.45 M,N/A,$-0.04,N/A
LBC,$8.98 M,N/A,$-0.21,N/A
SCAN,$19.86 M,N/A,$-0.17,N/A
LGD,$162.79 M,N/A,$-0.08,N/A
LBS.PRA,N/A,N/A,N/A,5.51%
LFST,$20.52 M,N/A,$-0.04,N/A
LSPK,$24.47 M,N/A,$-0.64,N/A
LIFT,$376.71 M,N/A,$-0.05,N/A
LSD.H,"$524,776",N/A,$-0.02,N/A
LIM,$51.13 M,N/A,N/A,N/A
LNR,$4.01 B,9.18,$7.07,1.36%
LMG,$1.16 M,N/A,$-0.27,N/A
LX.H,$1.59 M,N/A,$0.00,N/A
LEO,$24.77 M,N/A,$-0.01,N/A
LEV.WT,N/A,N/A,N/A,N/A
LEV.WTA,N/A,N/A,N/A,N/A
LIO,$122.06 M,N/A,$-0.02,N/A
LIO.WT,N/A,N/A,N/A,N/A
ROAR,$2.65 M,N/A,$-0.05,N/A
LBI,$3.55 M,N/A,$-0.03,N/A
LAC,$4.79 B,N/A,$-0.51,N/A
LITH,$139.65 M,N/A,$-0.02,N/A
LEXI,$33.29 M,N/A,$-0.02,N/A
LTH,$274.75 M,N/A,$-0.28,N/A
LONE,$11.85 M,N/A,$-0.10,N/A
LIRC,$384.65 M,31.01,$0.49,N/A
LIS,$66.59 M,N/A,$-0.09,N/A
LBNK,$33.37 M,N/A,$-0.14,N/A
LBNK.WT,N/A,N/A,N/A,N/A
LOBE,$2.69 M,N/A,$-0.16,N/A
L,$39.48 B,20.77,$5.75,1.49%
L.PRB,N/A,N/A,N/A,5.98%
LODE,$11.64 M,N/A,N/A,N/A
LSTR,$1.91 M,N/A,$-0.06,N/A
LGT.A,$566.96 M,13.15,$4.16,0.86%
LGT.B,$566.96 M,13.39,$4.16,0.93%
LN,$59.91 M,N/A,$-0.02,N/A
LPEN,$20.20 M,N/A,$-1.08,N/A
LRDS,$1.16 M,N/A,$-1.39,N/A
LPC,$67.23 M,31.25,$0.04,2.24%
LA,$346.19 M,N/A,$-0.34,N/A
J,$4.05 M,N/A,$-0.07,N/A
JOLT,"$756,341",N/A,$-0.01,N/A
LRC.H,$1.56 M,N/A,$-0.02,N/A
LOWL,$5.65 M,N/A,$-0.28,N/A
LQWD,$6.97 M,N/A,$-2.78,N/A
LSL,$24.89 M,N/A,$0.00,N/A
LUCA,$39.28 M,0.92,$0.41,N/A
LUC,$227.29 M,7.45,$0.06,N/A
LOU,$314.65 M,3.47,$0.14,N/A
LKY,$6.09 M,N/A,$-0.03,N/A
LUM,$207.00 M,N/A,$-0.08,N/A
LMN,$1.23 B,N/A,N/A,N/A
LR,$38.36 M,N/A,$-0.10,N/A
LUG,$4.08 B,31.88,$0.55,4.07%
LUN,$8.26 B,25.54,$0.41,3.46%
LPK,$1.53 M,N/A,$-0.02,N/A
LUXX,"$742,179",N/A,$-0.30,N/A
LXR,$10.97 M,N/A,$-0.02,N/A
LCX,$139.99 M,N/A,$-0.09,N/A
XMF.PRB,N/A,N/A,N/A,7.89%
XMF.PRC,N/A,N/A,N/A,N/A
MCT.P,N/A,N/A,N/A,N/A
MMS,$25.68 M,N/A,$-0.02,N/A
BMK,$1.64 M,N/A,$-0.06,N/A
MKZ.UT,$3.51 M,6.58,$0.09,15.18%
GREN,$7.27 M,N/A,$-0.13,N/A
MPC.C,$330.73 M,4.94,$1.12,1.91%
MDM,$3.12 M,N/A,$-0.02,N/A
MAG,$1.64 B,61.89,$0.26,N/A
MAL,$447.43 M,N/A,$-0.28,1.30%
MG,$20.37 B,34.41,$2.06,3.52%
NICU,$85.81 M,N/A,$-0.20,N/A
MTT,$2.35 M,N/A,$-0.03,N/A
MNC,$1.58 M,0.70,$0.04,N/A
MGI,$1.10 M,N/A,$-0.01,N/A
MJS,$99.05 M,6.99,$0.01,N/A
MDI,$829.49 M,10.47,$0.92,N/A
JUBA,$6.58 M,N/A,$-0.32,N/A
MKO,$128.35 M,N/A,$-0.24,N/A
MTH,$1.68 M,N/A,$0.00,N/A
MND,$205.25 M,12.04,$0.19,N/A
MAND.P,N/A,N/A,N/A,N/A
MN,$20.91 M,N/A,$-0.03,N/A
MNX,$7.22 M,N/A,$-0.38,N/A
MG,$20.37 B,34.41,$2.06,3.52%
NICU,$85.81 M,N/A,$-0.20,N/A
MTT,$2.35 M,N/A,$-0.03,N/A
MNC,$1.58 M,0.70,$0.04,N/A
MGI,$1.10 M,N/A,$-0.01,N/A
MEQ,$1.31 B,11.47,$12.21,N/A
MJS,$99.05 M,6.99,$0.01,N/A
MDI,$829.49 M,10.47,$0.92,N/A
JUBA,$6.58 M,N/A,$-0.32,N/A
MAKA,"$983,735",N/A,$-0.03,N/A
MKO,$128.35 M,N/A,$-0.24,N/A
MTH,$1.68 M,N/A,$0.00,N/A
MND,$205.25 M,12.04,$0.19,N/A
MAND.P,N/A,N/A,N/A,N/A
MN,$20.91 M,N/A,$-0.03,N/A
MNX,$7.22 M,N/A,$-0.38,N/A
MTU,$20.67 M,N/A,$0.00,N/A
MANN,$1.27 M,N/A,$-0.02,N/A
MNTR,$2.63 M,N/A,$-0.03,N/A
MFC,$48.57 B,8.84,$2.89,5.71%
MFC.PRC,N/A,N/A,N/A,6.13%
MFC.PRB,N/A,N/A,N/A,6.17%
MFC.PRQ,N/A,N/A,N/A,5.67%
MFC.PRK,N/A,N/A,N/A,6.25%
MFC.PRM,N/A,N/A,N/A,5.99%
MFC.PRP,N/A,N/A,N/A,8.11%
MFC.PRI,N/A,N/A,N/A,6.71%
MFC.PRJ,N/A,N/A,N/A,7.09%
MFC.PRL,N/A,N/A,N/A,5.89%
MFC.PRN,N/A,N/A,N/A,5.80%
MBI.H,"$345,157",N/A,$0.00,N/A
MGM,$57.57 M,N/A,$-0.03,N/A
MFI,$3.34 B,N/A,$-3.11,3.21%
MGW,$1.49 M,N/A,$-0.04,N/A
MOZ,$324.55 M,N/A,$-0.01,N/A
MRBL,$6.60 M,N/A,$-0.05,N/A
DIA,"$711,184",N/A,$-0.08,N/A
MARI,$352.11 M,N/A,$-0.02,N/A
MRMD,$225.07 M,21.21,$0.03,N/A
MAE,$14.01 M,N/A,$0.00,N/A
MAH,$7.50 M,N/A,$0.00,N/A
MRE,$975.90 M,6.27,$1.94,1.65%
MRVL,$2.68 M,N/A,$-0.04,N/A
MARV,$8.92 M,N/A,$-0.01,N/A
MAR.UT,$18.55 M,2.52,$0.24,2.46%
MAS,$6.14 M,N/A,$-0.02,N/A
MASS,$3.29 M,N/A,$-0.04,N/A
LLG,$32.50 M,15.72,$0.02,N/A
MAW,$48.64 M,N/A,$-0.02,N/A
MAXX,$20.08 M,N/A,$-0.07,N/A
MAX,$18.62 M,N/A,$-0.04,N/A
MXG,$196.32 M,7.39,$0.51,N/A
MFG,$159.16 M,N/A,$-0.21,N/A
MLKM,N/A,N/A,N/A,N/A
MAZ.H,$5.39 M,N/A,$-0.01,N/A
MKP,$563.99 M,8.58,$1.92,8.75%
MCB,$42.05 M,4.55,$0.32,2.74%
MUX,$505.51 M,N/A,$-2.90,N/A
MCF,$44.58 M,N/A,$0.00,N/A
DRDR,$14.63 M,N/A,$-0.48,N/A
MCL,$5.62 M,N/A,$-0.01,N/A
MCLD,$7.95 M,N/A,$-2.32,N/A
MCX,"$502,205",N/A,$-0.02,N/A
MDA,$964.96 M,29.66,$0.28,N/A
MDF,$153.90 M,N/A,$-2.04,N/A
MDL,$3.86 M,N/A,$-0.02,N/A
MEDA,$8.76 M,N/A,$-0.21,N/A
