Stock Symbol,Buy,Overweight,Hold,Underweight,Sell
CWB,5,3,5,0,0
CU.PRG,0,0,8,1,0
CU.PRD,0,0,8,1,0
CWB.PRD,0,0,0,0,0
CWB.PRB,5,3,5,0,0
CAF,0,0,0,0,0
CAND,0,0,0,0,0
CFP,6,1,0,0,0
CANX,0,0,0,0,0
CFX,2,1,2,0,0
CML,0,0,0,0,1
ICE,1,0,0,0,0
BLO,0,0,0,0,0
PILL,0,0,0,0,0
EIT.PRA,0,0,0,0,0
EIT.PRB,0,0,0,0,0
WEED,2,0,7,1,6
WEED.WT,2,0,7,1,6
CSOC.A,0,0,0,0,0
ROX,0,0,0,0,0
CDA,0,0,0,0,0
CD,0,0,0,0,0
CTM,0,0,1,0,0
CXG,1,0,0,0,0
CYF,0,0,0,0,0
CMIL,0,0,0,0,0
CPX,5,0,8,0,0
CPX.PRE,5,0,8,0,0
CPX.PRC,5,0,8,0,0
CPX.PRK,5,0,8,0,0
CPX.PRA,5,0,8,0,0
CAI,0,0,0,0,0
CS,10,1,0,0,0
CNRG,0,0,0,0,0
CSE.PRA,0,0,0,0,1
PWR,1,0,0,0,0
AUTO,0,0,0,0,0
CRDL,4,0,0,0,0
CJ,3,0,4,0,0
CRBK,1,0,0,0,0
CRRX,8,1,0,0,0
CSPN,0,0,0,0,0
CJT,8,0,4,0,0
CCC,0,0,0,0,0
CUP.USD,0,0,1,0,0
RUSH,1,0,0,0,0
ECR,2,0,0,0,0
CFE,0,0,0,0,0
CASA,0,0,0,0,0
CCD,0,0,0,0,0
CAS,2,0,4,0,0
CK,0,0,0,0,0
GLDC,1,0,0,0,0
CAT,0,0,0,0,0
CET,4,1,0,0,0
CBIT,0,0,1,0,0
CBLT,0,0,0,0,0
CCL.A,6,2,1,0,0
CCL.B,6,2,1,0,0
CMI,0,0,0,0,0
CDN,0,0,0,0,0
CZO,1,0,0,0,0
CLS,3,0,4,0,0
CVX,1,0,0,0,0
CVE.PRC,15,0,3,0,0
CVE,15,0,3,0,0
CVE.PRB,15,0,3,0,0
CVE.PRE,15,0,3,0,0
CVE.PRG,15,0,3,0,0
CVE.PRA,15,0,3,0,0
CVE.WT,15,0,3,0,0
CTA,1,0,0,0,0
CEE,7,0,2,0,1
CG,4,1,3,1,0
CTN,0,0,0,0,0
CNT,0,0,0,0,0
LCE,3,0,0,0,0
CNTR,0,0,0,0,0
CRP,0,0,0,0,0
CDAY,8,3,8,0,0
CERT,2,0,0,0,0
CDPR,0,0,0,0,0
CEG,1,0,0,0,0
CEU,10,0,0,0,0
GIB.A,9,2,2,1,0
CYL,1,0,0,0,0
OYL,1,0,0,0,0
PERU,1,0,0,0,0
WAGR,1,0,0,0,0
CIA,4,1,1,0,0
YES,1,0,0,0,0
CH,0,0,0,0,0
CWEB,2,0,1,0,0
CSH.UT,5,0,0,0,0
NZP,1,0,0,0,0
CHM,0,0,0,0,0
CHE.UT,6,1,0,0,0
CBG,0,0,0,0,0
CHP.UT,4,0,4,0,0
CVGR,0,0,0,0,0
CGII,0,0,0,0,0
CZZ,0,0,0,0,0
CDX,0,0,0,0,0
DOC,3,0,1,0,0
CLSH,0,0,1,0,0
CMB,1,0,1,0,0
CXC,0,0,0,0,0
GROW,0,0,0,0,0
COCO,0,0,0,0,0
CBV,0,0,0,0,0
CEI,1,1,0,0,0
CCA,2,0,6,1,1
CGO,1,0,1,0,0
CGN,1,0,0,0,0
GCL,0,1,0,0,0
CBI,1,0,0,0,0
CNL,1,0,0,0,0
TIE,0,0,1,0,0
CAD,1,0,0,0,0
CIGI,7,0,1,0,0
CEL.H,0,0,0,0,0
CCE,1,0,0,0,0
CMD,0,0,0,0,0
TIE,0,0,1,0,0
CAD,1,0,0,0,0
CIGI,7,0,1,0,0
CEL.H,0,0,0,0,0
CMD,0,0,0,0,0
YCM.PRA,0,0,0,0,0
CCE,1,0,0,0,0
YCM.PRB,0,0,0,0,0
CMG,3,0,1,0,1
CHS,0,0,0,0,0
CSL,0,0,0,0,0
CDR,1,0,0,0,0
COG,1,0,0,0,0
CFF,0,0,2,0,1
CQR,0,0,0,0,0
CPAU,0,0,0,0,0
CUU,0,0,0,0,0
CMMC,0,0,5,0,5
CPLF,5,1,2,0,0
CJR.B,1,0,6,0,1
CTH,1,0,0,0,0
CSG.H,0,0,0,0,0
COSA,0,0,0,0,0
COV,0,0,0,0,0
CVO,7,0,2,0,0
CPG,11,2,1,0,0
CTX,0,0,0,0,0
CL,7,0,6,0,0
CRS,1,0,0,0,0
CR,8,2,2,0,0
CEQ,0,0,0,0,0
CRE,3,0,0,0,0
CRR.UT,5,0,2,0,0
CTTT,0,0,0,0,0
CRON,3,2,6,1,0
CRVC,0,0,0,0,0
CRWN,0,1,0,0,0
CRUZ,0,0,0,0,0
BLOX,0,0,0,0,0
CRT.UT,2,0,4,0,0
CSTR,0,0,1,0,0
CIU.PRA,0,0,0,0,0
CIU.PRC,0,0,0,0,0
CUB,0,0,2,0,0
CMT,0,0,0,0,0
CULT,0,0,0,0,0
CURA,12,1,3,0,0
WATR,0,0,0,0,0
CXI,1,0,0,0,0
CUI,0,0,0,0,0
CVW,1,0,0,0,0
CWC,0,0,1,0,0
CYBT,0,0,0,0,0
CYM,1,0,0,0,0
CODE,0,0,0,0,0
HODL,1,0,0,0,0
CHY,0,0,0,0,0
DTOL,5,1,1,0,0
DMR,0,0,0,0,0
DVN,0,0,0,0,0
DAR,0,0,0,0,0
DCM,2,0,0,0,0
DAC,1,0,0,0,0
DM,1,0,0,0,0
DAT.H,0,0,0,0,0
DBO,1,0,0,0,0
DEC,0,0,0,0,0
DTEA,0,0,1,0,0
DE,1,1,0,0,0
DB.WTA,1,0,0,0,0
DB,1,0,0,0,0
DE.WT,1,1,0,0,0
DKL,1,0,0,0,0
MKT,0,0,0,0,0
DEEP,0,0,0,0,0
DEF,1,0,0,0,0
DLTA,0,0,0,0,0
DELT,0,0,0,0,0
DME.WT,1,0,0,0,0
DSY,0,0,1,0,0
DXT,4,0,3,0,0
DMED,0,0,0,0,0
CARE,4,0,4,0,0
DMI,1,0,0,0,0
DOS,0,0,0,0,0
DCOP,1,0,0,0,0
DFN.PRA,0,0,0,0,0
DLP,0,0,0,0,0
DOL,9,0,4,0,0
DV,1,0,0,0,0
DBM,2,0,4,0,0
DLCG,0,1,1,0,0
DCMC,0,1,0,0,0
DII.A,1,0,1,0,0
DII.B,1,0,1,0,0
MOOD,0,0,0,0,0
DBG,1,0,0,0,0
MPCT.UT,3,1,0,0,0
DPRO,2,0,0,0,0
DIR.UT,11,1,0,0,0
D.UT,2,1,5,1,0
DRM,2,0,0,0,0
DHT.UT,6,1,0,0,0
DC.PRD,1,0,0,0,0
DC.A,1,0,0,0,0
FLT,0,1,0,0,0
DC.PRB,1,0,0,0,0
DST,0,0,0,0,0
DPM,8,0,1,0,0
DGO,0,0,0,0,0
DYA,1,0,0,0,0
DND,4,1,0,0,1
DNG,1,0,0,0,0
DYG,0,0,0,0,0
EINC,2,0,4,0,0
ENS.PRA,0,0,0,0,0
ETU,1,0,0,0,0
ETL,2,0,0,0,0
ESNR,0,0,0,0,0
EPL,0,0,0,0,0
SPOT,0,0,0,0,0
EAC,0,0,0,0,0
ERTH,1,0,0,0,0
ERTH.WT,1,0,0,0,0
EWK,0,0,0,0,0
EAM,0,0,1,0,0
EW,1,0,0,0,0
EAGR,4,1,0,0,0
ETF,0,0,0,0,0
EBM,0,0,0,0,0
ELR,0,0,1,0,0
EATS,0,0,0,0,0
EWG,1,0,0,0,0
ECN,1,0,5,0,0
ECN.PRC,1,0,5,0,0
EOG,3,0,0,0,0
EOM,0,0,1,0,0
ECM,0,0,0,0,0
ECOR,5,0,0,0,0
ECO,1,0,0,0,0
EDY,0,0,0,0,0
CTRL,0,0,0,0,0
EDW.H,1,0,0,0,0
